userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,157,5.0,964984100
1,163,5.0,964983650
1,216,5.0,964981208
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,316,3.0,964982310
1,333,5.0,964981179
1,349,4.0,964982563
1,356,4.0,964980962
1,362,5.0,964982588
1,367,4.0,964981710
1,423,3.0,964982363
1,441,4.0,964980868
1,457,5.0,964981909
1,480,4.0,964982346
1,500,3.0,964981208
1,527,5.0,964984002
1,543,4.0,964981179
1,552,4.0,964982653
1,553,5.0,964984153
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,596,5.0,964982838
1,608,5.0,964982931
1,648,3.0,964982563
1,661,5.0,964982838
1,673,3.0,964981775
1,733,4.0,964982400
1,736,3.0,964982653
1,780,3.0,964984086
1,804,4.0,964980499
1,919,5.0,964982475
1,923,5.0,964981529
1,940,5.0,964982176
1,943,4.0,964983614
1,954,5.0,964983219
3,31,0.5,1306463578
3,527,0.5,1306464275
3,647,0.5,1306463619
3,688,0.5,1306464228
3,720,0.5,1306463595
3,849,5.0,1306463611
3,914,0.5,1306463567
4,21,3.0,986935199
4,32,2.0,945173447
4,45,3.0,986935047
4,47,2.0,945173425
4,52,3.0,964622786
4,58,3.0,964538444
4,106,4.0,986848784
4,125,5.0,964622758
4,126,1.0,986848920
4,162,5.0,945078571
4,171,3.0,945078428
4,176,5.0,964622565
4,190,2.0,945079259
4,215,5.0,945079078
4,222,1.0,945629040
4,232,5.0,964622684
4,235,2.0,945173513
4,247,3.0,986848894
4,260,5.0,945079259
4,265,5.0,964538468
4,296,1.0,945173350
4,319,5.0,945079182
4,342,5.0,964538500
4,345,4.0,945629063
4,348,4.0,964622786
4,351,3.0,986934901
4,357,3.0,964623306
4,368,4.0,945078690
4,417,2.0,945078467
4,441,1.0,986934915
4,450,2.0,986848828
4,457,5.0,945079259
4,475,5.0,945174290
4,492,5.0,945079872
4,509,1.0,945079106
4,538,5.0,945078636
4,539,1.0,964538832
4,553,2.0,945079301
4,588,4.0,945079670
4,593,5.0,964539986
4,595,3.0,986848609
4,599,2.0,945078587
4,608,5.0,964540008
4,648,3.0,945079906
4,708,4.0,986935230
4,759,3.0,945078601
4,800,4.0,945079106
4,892,4.0,964622714
4,898,5.0,964623347
4,899,4.0,945079653
4,902,4.0,945078446
4,904,4.0,945079837
4,908,5.0,945173902
4,910,5.0,945173989
4,912,5.0,945173902
4,914,5.0,945079670
4,919,5.0,945079521
4,920,5.0,945173602
4,930,5.0,964538571
4,937,3.0,986849085
5,1,4.0,847434962
5,21,4.0,847435238
5,34,4.0,847434881
5,36,4.0,847435292
5,39,3.0,847434961
5,50,4.0,847434881
5,58,5.0,847435238
5,110,4.0,847434880
5,150,3.0,847434748
5,153,3.0,847434802
5,232,4.0,847435292
5,247,5.0,847435337
5,253,3.0,847435292
5,261,4.0,847435238
5,265,3.0,847435129
5,266,1.0,847435311
5,290,5.0,847435311
5,296,5.0,847434748
5,300,3.0,847435337
5,316,2.0,847434832
5,318,3.0,847434880
5,344,3.0,847434802
5,349,3.0,847434832
5,357,2.0,847435238
5,364,3.0,847434882
5,367,4.0,847435129
5,380,2.0,847434748
5,410,3.0,847435292
5,457,4.0,847434801
5,474,4.0,847435337
5,475,5.0,847435311
5,515,3.0,847435129
5,527,5.0,847434960
5,531,4.0,847435258
5,534,3.0,847435311
5,588,4.0,847434801
5,589,3.0,847435258
5,590,5.0,847434747
5,592,3.0,847434747
5,594,5.0,847435238
5,595,5.0,847434832
5,596,5.0,847435292
5,597,3.0,847434962
5,608,3.0,847435258
6,2,4.0,845553522
6,3,5.0,845554296
6,4,3.0,845554349
6,5,5.0,845553938
6,6,4.0,845553757
6,7,4.0,845554264
6,8,3.0,845555281
6,10,3.0,845553253
6,11,4.0,845553489
6,13,3.0,845555588
6,15,4.0,845554505
6,16,4.0,845553819
6,17,4.0,845553559
6,19,2.0,845553382
6,21,2.0,845553382
6,22,5.0,845553875
6,24,4.0,845554397
6,25,3.0,845553695
6,26,4.0,845555362
6,27,3.0,845555402
6,31,3.0,845553819
6,32,4.0,845553426
6,34,4.0,845553354
6,36,5.0,845553726
6,41,4.0,845554962
6,43,4.0,845555607
6,45,3.0,845553907
6,46,4.0,845554551
6,47,4.0,845553317
6,50,1.0,845553381
6,54,4.0,845555402
6,60,4.0,845554263
6,61,4.0,845555454
6,62,4.0,845553660
6,65,3.0,845555070
6,66,3.0,845555151
6,76,4.0,845555317
6,79,3.0,845554907
6,86,5.0,845556131
6,87,3.0,845555300
6,88,2.0,845555694
6,89,4.0,845555124
6,92,4.0,845555454
6,93,4.0,845554584
6,95,4.0,845553559
6,100,3.0,845555151
6,102,1.0,845555436
6,104,4.0,845554349
6,105,3.0,845553757
6,110,5.0,845553283
6,112,4.0,845553994
6,113,3.0,845556257
6,126,3.0,845555342
6,135,3.0,845554987
6,140,3.0,845555024
6,141,4.0,845553586
6,145,4.0,845553966
6,146,4.0,845555607
6,150,4.0,845553110
6,151,4.0,845553586
6,153,3.0,845553146
6,158,4.0,845553660
6,159,3.0,845555006
6,160,5.0,845553457
6,161,3.0,845553253
6,163,3.0,845553907
6,165,3.0,845553146
6,168,5.0,845553695
6,170,3.0,845554263
6,171,3.0,845555402
6,174,3.0,845554479
6,177,3.0,845554931
6,179,1.0,845555362
6,180,2.0,845555006
6,181,3.0,845553938
6,185,3.0,845553283
6,186,3.0,845553619
6,189,3.0,845556241
6,191,2.0,845554931
6,195,4.0,845554455
6,196,3.0,845553586
6,201,3.0,845556290
6,204,3.0,845553619
6,205,3.0,845555477
6,207,4.0,845554024
6,208,3.0,845553253
6,209,3.0,845556106
6,210,4.0,845556310
6,212,4.0,845556181
6,216,4.0,845554099
6,217,3.0,845555382
6,218,2.0,845553994
6,219,3.0,845556131
6,222,4.0,845554024
6,224,3.0,845553794
6,225,4.0,845553381
6,230,5.0,845553966
6,231,3.0,845553174
6,234,2.0,845554176
6,236,4.0,845553559
6,237,4.0,845553875
6,239,3.0,845554987
6,240,3.0,845555571
6,243,3.0,845555588
6,248,5.0,845554263
6,250,4.0,845555588
6,251,3.0,845556257
6,252,4.0,845553619
6,253,3.0,845553283
6,254,3.0,845555655
6,256,3.0,845553726
6,257,5.0,845554176
6,258,3.0,845555172
6,261,4.0,845553695
6,262,5.0,845554551
6,265,3.0,845553726
6,266,3.0,845553457
6,267,3.0,845554376
6,270,3.0,845555172
6,271,4.0,845555249
6,273,3.0,845553875
6,274,4.0,845555151
6,276,4.0,845553907
6,277,5.0,845553844
